CARD ID,ArUco 4x4 ID,BLE MAC address,RFID tag number (EPC),Service entry date,Observations
0,0,50:50:50:aa:00:00,,,For development purposes only (not for real use)
1,1,50:50:50:aa:00:01,e2806810000000393332cf60,23/10/2023,
2,2,50:50:50:aa:00:02,e2806810000000393332cd04,23/10/2023,
3,3,50:50:50:aa:00:03,e2806810000000393332cf4d,,Under construction
4,4,50:50:50:aa:00:04,e2806810000000393332dd5f,23/10/2023,
5,5,50:50:50:aa:00:05,e2806810000000393332c3c3,23/10/2023,
6,6,50:50:50:aa:00:06,e2806810000000393332c3d7,23/10/2023,
7,7,50:50:50:aa:00:07,e2806810000000393332dd4c,23/10/2023,
8,8,50:50:50:aa:00:08,e2806810000000393332dabb,23/10/2023,
9,9,50:50:50:aa:00:09,e2806810000000393332daa7,23/10/2023,
10,10,50:50:50:aa:00:0a,e2806810000000393332dd11,23/10/2023,
11,11,50:50:50:aa:00:0b,e2806810000000393332dd25,23/10/2023,
12,12,50:50:50:aa:00:0c,e2806810000000393332dacf,23/10/2023,
13,13,50:50:50:aa:00:0d,e2806810000000393332dae3,23/10/2023,
14,14,50:50:50:aa:00:0e,e2806810000000393332ccc8,23/10/2023,
15,15,50:50:50:aa:00:0f,e2806810000000393332ccdc,23/10/2023,
16,16,50:50:50:aa:00:10,e2806810000000393332ccf0,23/10/2023,
